title,artist,date,School Name,Borough,Medium
THE THREE B'S,Andy Yoder,2004,"""QNS HS OF TEACH.",1376,"ALUMINUM, CAST"
THE THREE B'S,Andy Yoder,2004,"""QNS HS OF TEACH.",1376,"STEEL, STAINLESS"
MORTON STONE,Angelo Grado,1976,FORT HAMILTON HS - K,BROOKLYN,OIL ON CANVAS
ABRAHAM H. LASS,Anita Fleischner,1975,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
"""MAN WITH BOOK""",Anita Fleischner,,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
THE AMERICAN SCENE 1976,Anita Toney,1976,OSSS / DSF - QUEENS,QUEENS,PRINT
WORLDS FAIR 2003,Ann Agee,2001,M.S. 137 - QUEENS,QUEENS,CERAMIC TILE
WORLDS FAIR 2003,Ann Agee,2001,M.S. 137 - QUEENS,QUEENS,PORCELAIN
HUDSON STREET,Ann De Kohary,,FORT HAMILTON HS - K,BROOKLYN,LITHOGRAPH
"""L"" STATION WAITING ROOM",Ann De Kohary,1938,FLUSHING HS - Q,QUEENS,LITHOGRAPH
REACHING FOR THE STARS (ASPERA AD ASTRA),Ann Gillen,,P.S. 12 - QUEENS,QUEENS,"ALUMINUM, PAINTED, ENAMEL"
THE AMERICAN TRUCKING INDUSTRY,Ann Leggett,,OSSS / DSF - QUEENS,QUEENS,PRINT
THANKSGIVING (EMPIRE STATE),Anne Arnold,1985,P.S. 81 - BRONX,BRONX,PASTEL
THANKSGIVING (EMPIRE STATE),Anne Arnold,1985,P.S. 81 - BRONX,BRONX,PAPER
BOB'S TRAILER,Anne Arnold,1983,P.S. 230 ANNEX - BROOKLYN,BROOKLYN,WATERCOLOR
A SAILOR HOME ON LEAVE,Anne Arnold,1953,LOUIS D. BRANDEIS HS - MANHATTAN,MANHATTAN,"PHOTOGRAPH, TINTED"
EDITORIAL BLUE,Anne Delaporte,2013,HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS - BRONX,BRONX,PAPER
EDITORIAL BLUE,Anne Delaporte,2013,HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS - BRONX,BRONX,DIBOND PANEL
EDITORIAL BLUE,Anne Delaporte,2013,HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS - BRONX,BRONX,ACRYLIC
WINTER SUN,Anne Nooney,,FORT HAMILTON HS - K,BROOKLYN,LITHOGRAPH
"TWILIGHT BROWNSVILLE, NYC",Anne Nooney,1938,FLUSHING HS - Q,QUEENS,LITHOGRAPH
