title,artist,date,School Name,Borough,Medium
"""LANDSCAPE WITH RIVER""",Dunoyer Segonzuc,,CAMPUS MAGNET HS (JACKSON) - Q,QUEENS,WATERCOLOR
PORTRAIT OF PRINCIPAL (MAN SITTING HOLDING GLASSES),E Kager,,,,OIL ON CANVAS
GLENSFOOT FARM,E Rushnlatt,,P.S. 4 - BRONX,BRONX,DRAWING
"""SURRENDER OF YORKTOWN 1781""",Eastman Johnson,1933,G. WASHINGTON HS EDUC. CAMPUS - M,MANHATTAN,TO BE DETERMINED
LAKE NEAR 59TH STREET,Eastman Johnson,1989,AUX. SERV. - JAMAICA LEARN CT - Q,QUEENS,"PHOTOGRAPH, TINTED"
DANIEL MORGAN- REVOLUTIONARY WAR HERO,Ed Guthrie,,OSSS / DSF - QUEENS,QUEENS,INK ON PAPER
WORK HISTORY,Ed Mcgowin,1997,P.S. 721 OTC - BROOKLYN,BROOKLYN,BRONZE
THE GREAT STRUGGLE (STUDY),Ed Rath,1993,OSSS / DSF - QUEENS,QUEENS,INK ON PAPER
WE ARE THE FUTURE,Ed Rath,1999,P.S. 7 - BROOKLYN,BROOKLYN,CERAMIC
JUMP ROPE,Ed Rath,1999,P.S. 7 - BROOKLYN,BROOKLYN,BRICK
MIDDLE PASSAGE,Ed Wilson,1976,BOYS & GIRLS HS - K,BROOKLYN,CONCRETE
MIDDLE PASSAGE,Ed Wilson,1976,BOYS & GIRLS HS - K,BROOKLYN,BRONZE
DANSEUSE,Edgar Degas,,NEWTOWN HS - QUEENS,QUEENS,ETCHING
"""NURSERY TALES""",Edith Woolf,1927,P.S. 70 - QUEENS,QUEENS,OIL ON CANVAS
"""AMERICA IN THE MAKING""",Edith Woolf,1925,P.S. 70 - QUEENS,QUEENS,OIL ON CANVAS
"""CHILDREN PLAYING VARIOUS GAMES IN FIELD""",Edith Woolf,1923,P.S. 43 - BRONX,BRONX,OIL ON CANVAS
"AS YE SOW, SO SHALL YE REAP",Edmond Amateis,1948,P.S. 171 - QUEENS,QUEENS,STONE
"AS YE SOW, SO SHALL YE REAP",Edmond Amateis,1948,P.S. 171 - QUEENS,QUEENS,BRONZE
ANIMALS OF THE PRAIRIE,Edmund Cortez,1963,MIDWOOD HS - K,BROOKLYN,TEMPERA ON PANEL
"""INDUSTRY AND FARMING""",Edna Hershman,1941,I.S. 113 - BRONX,BRONX,OIL ON CANVAS
UNTITLED (HEXAGONAL SCULPTURE),Eduardo Raimirez,1973,BEACH CHANNEL HS - Q,QUEENS,"ALUMINUM, PAINTED, EPOXY"
"""STAMPING MILL""",Edward Buyck,1950,BROOKLYN TECH HS - K,BROOKLYN,CRAYON
"""STAMPING MILL""",Edward Buyck,1950,BROOKLYN TECH HS - K,BROOKLYN,PASTEL
"""GILBERT S. BLAKELY PRINCIPAL 1913-1925",Edward Child,1936,EVANDER CHILDS HS - X,BRONX,OIL ON CANVAS
FREEDOM OF LIBERTY,Edward De Voe,1976,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,OIL ON BOARD
PASSAGE TO INDIA,Edward Laning,,OSSS / DSF - QUEENS,QUEENS,PRINT
"WOODROW WILSON, ANDREW JACKSON",Edward Laning,1955,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
"""YOUNG PEOPLE""",Edward Menshekoff,1965,P.S. 41 - BROOKLYN,BROOKLYN,CERAMIC TILE
,Edward S. Devoe,1976,OSSS / DSF - QUEENS,QUEENS,PRINTED REPRODUCTION
THE GRADUATE,Edwin Blashfield,1920,P.S. 104 - BROOKLYN,BROOKLYN,"LITHOGRAPH, COLOR"
"""THE GRADUATE""",Edwin Blashfield,1930,P.S. 79 - BRONX,BRONX,LITHOGRAPH
JOHN HOLLEY CLARK,Edwin Child,1920,FLUSHING HS - Q,QUEENS,OIL ON CANVAS
RUPERT P. THOMAS,Edwin Child,1915,FLUSHING HS - Q,QUEENS,OIL ON CANVAS
GOV. MORRIS ADDRESSING THE CONVENTION FOR..,Edwin Deming,1907,MORRIS HS - X,BRONX,OIL ON CANVAS
THE FIRST TREATY OF PEACE MADE BETWEEN...,Edwin Deming,1907,MORRIS HS - X,BRONX,OIL ON CANVAS
BAND CONCERT,Effim Sherman,1940,FORT HAMILTON HS - K,BROOKLYN,ETCHING
"DANCE, MUSIC, ART",Eldzier Cortor,1976,BOYS & GIRLS HS - K,BROOKLYN,ACRYLIC ON MASONITE
"""THE MUSES AS DRAMA, MUSIC, AND SCIENCE""",Elemer Polony,1960,P.S. 180 - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
EDUCATION,Elemer Polony,1964,P.S. 83 - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
UNTITLED,Elemer Polony,1974,I.S. 226 - QUEENS,QUEENS,"MOSAIC, GLASS"
YOUTH ACTIVITIES,Elemer Polony,1962,P.S. 79 (MULT. HANDICAP) - M,MANHATTAN,"MOSAIC, MARBLE"
YOUTH ACTIVITIES,Elemer Polony,1962,P.S. 79 (MULT. HANDICAP) - M,MANHATTAN,"MOSAIC, CERAMIC"
THE WORLD OF SPACE,Elemer Polony,1967,P.S. 208 (TANDEM M185) - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
"""ABSTRACT FORMS IN SPACE""",Elemer Polony,1978,P.S. 722 (OTC) - STATEN ISLAND,STATEN ISLAND,MARBLE
"""ELEMENTS OF EDUCATION""",Elemer Polony,1970,I.S. 162 - BRONX,BRONX,"MOSAIC, CERAMIC"
"ARTS & ARCHITECTURE, CHEMISTRY, ASTRONOMY",Elemer Polony,1967,P.S. 220 - BRONX,BRONX,"MOSAIC, CERAMIC"
"""UNTITLED""",Elemer Polony,1980,P.S. 290 - BROOKLYN,BROOKLYN,OIL ON CANVAS
THE WORLD OF SPACE,Elemer Polony,1970,ADLAI E. STEVENSON HS - X,BRONX,"MOSAIC, GLASS"
THORVALD'S COLONY,Elfriede Abbe,,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
THORVALD'S COLONY,Elfriede Abbe,,OSSS / DSF - QUEENS,QUEENS,INK
THORVALD'S COLONY,Elfriede Abbe,,OSSS / DSF - QUEENS,QUEENS,PENCIL
THORVALD'S COLONY,Elfriede Abbe,,OSSS / DSF - QUEENS,QUEENS,TO BE DETERMINED
THORVALD'S COLONY,Elfriede Abbe,,OSSS / DSF - QUEENS,QUEENS,INK ON PAPER
RAIN  (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
STEVE  (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
THE NEW DEAL - PRO & CON  (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
MAXIE'S MOOSE (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
THE GRAND WINDSOR LOBBY (FROM BOOK OF WPA PRINTS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
THE GRAND WINDSOR LOUNGE (FROM BOOK OF WPA PRINTS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
BAR AND GRILL (FROM WPA BOOK OF GRAPHICS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
ALL NIGHT MISSION (FROM BOOK OF WPA GRAPHICS ACCESSION # 71228),Eli Jacobi,1940,FORT HAMILTON HS - K,BROOKLYN,LINOLEUM CUT
PEOPLE IN GEAR,Eliot Lable,1999,SCL COOP TECH ED (MNH VOC HS) - M,MANHATTAN,STEEL
FREEDOM TO BEAR ARMS,Elizabeth Case,1975,OSSS / DSF - QUEENS,QUEENS,OIL ON BOARD
WOMEN'S RIGHTS IN THE UNITED STATES OF AMERICA,Elizabeth Case,1976,OSSS / DSF - QUEENS,QUEENS,GOUACHE
WOMEN'S RIGHTS IN THE UNITED STATES OF AMERICA,Elizabeth Case,1976,OSSS / DSF - QUEENS,QUEENS,PAPER
WOMENS RIGHTS IN THE UNITED STATES OF AMERICA,Elizabeth Case,1976,OSSS / DSF - QUEENS,QUEENS,
WHO ELSE SHARES OUR WORLD,Elizabeth Grajales,,P.S. 92 - QUEENS,QUEENS,CERAMIC
STORIES IN CLAY,Elizabeth Grajales,1995,P.S. 314 - BROOKLYN,BROOKLYN,CERAMIC
WHAT A WONDERFUL WORLD,Elizabeth Grajales,1995,P.S. 14 - QUEENS,QUEENS,CERAMIC TILE
WHAT A WONDERFUL WORLD,Elizabeth Grajales,1995,P.S. 14 - QUEENS,QUEENS,TERRA COTTA
STEEL'S KITCHEN GARDEN,Elizabeth Olds,1931,FORT HAMILTON HS - K,BROOKLYN,SILKSCREEN
BICYCLE RACE,Elizabeth Olds,1938,FLUSHING HS - Q,QUEENS,LITHOGRAPH
RHYTHM BAND WPA,Elizabeth Olds,1936,FLUSHING HS - Q,QUEENS,LITHOGRAPH
HARLEM MUSICIANS,Elizabeth Olds,,FORT HAMILTON HS - K,BROOKLYN,SILKSCREEN
CAMERA CLUB,Elizabeth Olds,1937,MIDWOOD HS - K,BROOKLYN,LITHOGRAPH
ABSTRACTIONS I.S. 254,Ellen And Allan Wexler,1999,I.S. 254 - BRONX,BRONX,TERRAZZO
ABSTRACTIONS I.S. 254,Ellen And Allan Wexler,1999,I.S. 254 - BRONX,BRONX,WOOD
ABSTRACTIONS I.S. 254,Ellen And Allan Wexler,1999,I.S. 254 - BRONX,BRONX,BRASS
ABSTRACTIONS I.S. 254,Ellen And Allan Wexler,1999,I.S. 254 - BRONX,BRONX,BRICK
ABSTRACTIONS I.S. 254,Ellen And Allan Wexler,1999,I.S. 254 - BRONX,BRONX,METAL
DRAWING P.S. 340/ A COORDINATED PLANE PATIO,Ellen And Allan Wexler,1999,P.S. 340 - BRONX,BRONX,PRINTED REPRODUCTION
DRAWING P.S. 340/ A COORDINATED PLANE PATIO,Ellen And Allan Wexler,1999,P.S. 340 - BRONX,BRONX,BRASS
DRAWING P.S. 340/ A COORDINATED PLANE PATIO,Ellen And Allan Wexler,1999,P.S. 340 - BRONX,BRONX,CONCRETE
PLAY,Elliot Means,1938,P.S. 134 - MANHATTAN,MANHATTAN,STEEL
PLAY,Elliot Means,1938,P.S. 134 - MANHATTAN,MANHATTAN,"PLASTER, PAINTED"
OASIS,Elliot Means,1938,REGION 7/ ROC  F - STATEN ISLAND,STATEN ISLAND,STEEL
OASIS,Elliot Means,1938,REGION 7/ ROC  F - STATEN ISLAND,STATEN ISLAND,"PLASTER, PAINTED"
"""LOUIS ARMSTRONG""",Elton Fax,1984,P.S. 143 - QUEENS,QUEENS,OIL ON CANVAS
UNTITLED,Emanuel Milstein,1982,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN,GLASS
UNTITLED,Emanuel Milstein,1982,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN,FIBERGLASS
UNTITLED,Emanuel Milstein,1982,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN,FIBERGLASS
NEW YORK CITY LANDSCAPE MAP POLLUTION # 4,Emily Fuller,1972,P.S. 14 - BRONX,BRONX,ACRYLIC ON CANVAS
THE SKY'S THE LIMIT,Emma Amos,1994,I.S. 90 - MANHATTAN,MANHATTAN,"MOSAIC, GLASS"
THE SKY'S THE LIMIT,Emma Amos,1994,I.S. 90 - MANHATTAN,MANHATTAN,PLYWOOD
ELATED ELDERS,Emmett Wigglesworth,1997,P.S. 181 - BROOKLYN,BROOKLYN,ACRYLIC ON WOOD
WE ARE THE CHILDREN,Emmett Wigglesworth,2000,P.S. 181 - BROOKLYN,BROOKLYN,STAINED GLASS
TUNE INTO TRUTH,Emmett Wigglesworth,1998,P.S. 181 - BROOKLYN,BROOKLYN,ACRYLIC ON WOOD
WESTWARD EXPANSION SETTLEMENT OF THE PLAINS,Eric Bransby,1980,OSSS / DSF - QUEENS,QUEENS,PRINTED REPRODUCTION
"""BIRD AND SUN COLLAGE""",Eric Carle,2000,P.S. 84 - QUEENS,QUEENS,PAPER
"""BIRD AND SUN COLLAGE""",Eric Carle,2000,P.S. 84 - QUEENS,QUEENS,PASTEL
"""BIRD AND SUN COLLAGE""",Eric Carle,2000,P.S. 84 - QUEENS,QUEENS,COLLAGE
YOUNG MAN IN THE COSTUME OF A MAJO,Eric Maunsbach,1941,P.S. 152 - QUEENS,QUEENS,OIL ON CANVAS
MRS. GRACE ELLIOT,Eric Maunsbach,1941,P.S. 152 - QUEENS,QUEENS,OIL ON CANVAS
"""THE OLD WOMAN""",Eric Maunsbach,1941,P.S. 152 - QUEENS,QUEENS,OIL ON CANVAS
POWER,Eric Mose,1936,SAMUEL GOMPERS VOC HS - X,BRONX,FRESCO SECCO
UNTITLED,Ernest Crichlow,1976,BOYS & GIRLS HS - K,BROOKLYN,ACRYLIC ON MASONITE
"""LEWIS HOWARD LATIMER""",Ernest Crichlow,1968,P.S. 56 - BROOKLYN,BROOKLYN,OIL ON CANVAS
THOMAS JEFFERSON - GEORGE WASHINGTON,Ernest Fiene,1955,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON CANVAS
"""FASHION TRADE""",Ernest Fiene,1937,FASHION INDUSTRIES VOC HS - M,MANHATTAN,"MOSAIC, GLASS"
HISTORY OF THE NEEDLECRAFT INDUSTRY,Ernest Fiene,1940,FASHION INDUSTRIES VOC HS - M,MANHATTAN,FRESCO SECCO
"""WASHINGTON THE SOLDIER"" AND ""OUR FRENCH ALLIES"".",Ernest Peixotto,1933,PORT RICHMOND HS - S. I.,STATEN ISLAND,OIL ON CANVAS
PROFILE CANTO XI,Ernest Trova,1980,PORT RICHMOND HS - S. I.,STATEN ISLAND,"STEEL, STAINLESS"
FRANKLIN STATUE (BENJAMIN),Ernst Plassmann,1872,HS OF GRAPHIC COMMUNICATION ARTS-M,MANHATTAN,BRONZE
GUTENBERG STATUE (JOHANNES),Ernst Plassmann,,HS OF GRAPHIC COMMUNICATION ARTS-M,MANHATTAN,BRONZE
CAPE CANAVERAL,Ethel Cutler,1959,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"FRONDS II, ALSO TITLED DESERT LIFE",Ethel Cutler,1962,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
UNTITLED,Ethel Cutler,1950,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
GROWTH (IN MEMORY OF JFK),Ethel Cutler,1964,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
A GARDEN NEAR WASHINGTON SQUARE,Ethel Cutler,1969,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON CANVAS
AUTUMN IN CENTRAL PARK,Ethel Cutler,,P.S. 154 - QUEENS,QUEENS,PASTEL
BOATS,Ethel Cutler,,P.S. 154 - QUEENS,QUEENS,WATERCOLOR
THE BLIND LADY'S DILEMMA,Ethel Cutler,,P.S. 154 - QUEENS,QUEENS,OIL ON CANVAS
BOWLING BALL CURTAIN,Eung Ho Park,2003,P.S. 270 - QUEENS,QUEENS,BOWLING BALLS
BOTTLE CAP EYES,Eung Ho Park,2003,P.S. 270 - QUEENS,QUEENS,BOTTLE CAPS
BOTTLE CAP EYES,Eung Ho Park,2003,P.S. 270 - QUEENS,QUEENS,EPOXY RESIN
SKY DUBLIN,Evelyn Hofer,1966,P.S. 131 - QUEENS,QUEENS,"PHOTOGRAPH, TINTED"
TRIUMPH AND TRAGEDY,Evelyn Page,1976,OSSS / DSF - QUEENS,QUEENS,PRINT
"""PILGRAMS ARRIVING""",F Read,,CAMPUS MAGNET HS (JACKSON) - Q,QUEENS,GOUACHE
PORTRAIT OF PRINCIPAL,F Wallace,,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
CROWN HEIGHTS CHILDREN'S HISTORY STORY QUILT,Faith Ringgold,1994,P.S. 22 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
FREEDOM TO COMPETE,Fay Moore,1976,NEWCOMERS HIGH SCHOOL (OLD LIC)-Q,QUEENS,ACRYLIC ON CANVAS
"""ADVANCEMENT OF SCIENCE""",Federico Castellon,1934,ERASMUS HALL CAMPUS - K,BROOKLYN,TEMPERA ON PANEL
"""UNTITLED""",Federico Castellon,1933,ERASMUS HALL CAMPUS - K,BROOKLYN,TEMPERA ON PANEL
"""UNTITLED""",Federico Castellon,1933,OSSS / DSF - QUEENS,QUEENS,TEMPERA ON PANEL
"""U.S. MARINE CORPS WAR MEMORIAL""",Felix De Weldon,,SAMUEL GOMPERS VOC HS - X,BRONX,"PLASTER, PAINTED"
"""UNTITLED""",Fern Stanford,1976,BOYS & GIRLS HS - K,BROOKLYN,ACRYLIC ON PANEL
QUEST FOR KNOWLEDGE,Florence Lundborg,1932,CURTIS HS - S. I.,STATEN ISLAND,OIL ON CANVAS
"""GARDEN OF INSPIRATION""",Florence Lundborg,1926,I.S. 88 - MANHATTAN,MANHATTAN,ACRYLIC ON CANVAS
? OF IN THE BEGINING,Florrie Gotlib,1986,NEWTOWN HS - QUEENS,QUEENS,ETCHING
THREE BACCAHANTES DANCING,Fn Caproni Brothers,1924,PROSPECT HEIGHTS HS - K,BROOKLYN,PLASTER
CHILDREN PLAYING INSTRUMENTS,Fn Caproni Brothers,,P.S. 133 - BROOKLYN,BROOKLYN,
BOYS SINGING FROM BOOK,Fn Caproni Brothers,,P.S. 133 - BROOKLYN,BROOKLYN,
UNTITILED,Fn Caproni Brothers,,OSSS / DSF - QUEENS,QUEENS,PLASTER CAST
UNTITILED,Fn Caproni Brothers,,OSSS / DSF - QUEENS,QUEENS,TO BE DETERMINED
"""CHILDREN SINGING""",Fn Caproni Brothers,,OSSS / DSF - QUEENS,QUEENS,PLASTER CAST
BOYS PLAYING ON TRUMPETS,Fn Caproni Brothers,1918,P.S. 138 - BROOKLYN,BROOKLYN,PLASTER CAST
CANTORIA FRIEZE AFTER LUCA DELLA ROBBIA - 4 CASTS AND 1 CAST OF BACCHANTES DANCI,Fn Caproni Brothers,,P.S. 42 - BRONX,BRONX,PLASTER
BOYS SINGING FROM SCROLL,Fn Caproni Brothers,,SAMUEL J. TILDEN HS - K,BROOKLYN,
BOYS PLAYING DRUMS,Fn Caproni Brothers,,SAMUEL J. TILDEN HS - K,BROOKLYN,
CHILDREN PLAYING ON SYMBOLS,Fn Caproni Brothers,,P.S. 133 - BROOKLYN,BROOKLYN,
BOYS SINGING FROM SCROLL,Fn Caproni Brothers,,P.S. 133 - BROOKLYN,BROOKLYN,
TREASURE OF INDIA,Fn Chetan,1990,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"""LIFE OF ERASMUS"" ALSO CALLED ""ALUMNI ...",Fn Church Glass (Fabricator),,ERASMUS HALL CAMPUS - K,BROOKLYN,STAINED GLASS
JESSE FRANCES SMITH FORD MEMORIAL WINDOW,Fn D'Ascenzo Studios,1917,I.S. 88 - MANHATTAN,MANHATTAN,"STAINED GLASS, OPALESCENT"
MOTHER AND CHILDREN,Fn Evergon,1988,OSSS / DSF - QUEENS,QUEENS,"PHOTOGRAPH, TINTED"
"ALLEGORY ITALY, GERMANY",Fn Evergon,1988,OSSS / DSF - QUEENS,QUEENS,PHOTOGRAPH
"""PROFILE OF ROOSEVELT""",Fn Fraser,1920,P.S. 88 - QUEENS,QUEENS,BRONZE
"""UNTITLED""",Fn Geller,,,,TO BE DETERMINED
"""WW 1 MEMORIAL PLAQUE""",Fn Gorham Company,1921,STUYVESANT HS (NEW) - MANHATTAN,MANHATTAN,BRONZE
"""BOARD OF EDUCATION PLAQUE""",Fn Gorham Company,1906,STUYVESANT HS (NEW) - MANHATTAN,MANHATTAN,BRONZE
GOETHE AND VICTOR HUGO WINDOWS,Fn Gorham Company,1907,I.S. 88 - MANHATTAN,MANHATTAN,"STAINED GLASS, OPALESCENT"
GENIUS,Fn Helmick And Schechter,2002,LEON GOLDSTEIN HS - BROOKLYN,BROOKLYN,STAINLESS STEEL CABLE
GENIUS,Fn Helmick And Schechter,2002,LEON GOLDSTEIN HS - BROOKLYN,BROOKLYN,"BRONZE, CAST"
PORTRAIT,Fn Hocillon,,OSSS / DSF - QUEENS,QUEENS,
"""COLUMBUS AT THE CONVENT OF LA RABIDA""",Fn Hocillon,,CHRISTOPHER COLUMBUS HS - X,BRONX,ETCHING
LAKE YAMANAKA,Fn Hosui,,FORT HAMILTON HS - K,BROOKLYN,"WOODCUT, COLOR"
"""DR. MARTIN LUTHER KING JR.""",Fn Jome,,P.S. 150 - BRONX,BRONX,BRONZE
MNEMONICS,Fn Jones And Ginzel,1992,STUYVESANT HS (NEW) - MANHATTAN,MANHATTAN,GLASS
ENCYCLIC,Fn Jones And Ginzel,1996,P.S. 102 - BRONX,BRONX,METAL
ENCYCLIC,Fn Jones And Ginzel,1996,P.S. 102 - BRONX,BRONX,PLASTIC
ENCYCLIC,Fn Jones And Ginzel,1996,P.S. 102 - BRONX,BRONX,GLASSBLOCK
"""DR. RONALD E. MCNAIR""",Fn Kinrod,1987,P.S. 5 - BROOKLYN,BROOKLYN,ACRYLIC ON WALL
"""UNTITLED""",Fn Kinrod,1970,P.S. 167 - BROOKLYN,BROOKLYN,ACRYLIC ON WALL
SCHOLARSHIP AND CHARACTER,Fn Lamb Studios,1925,P.S. 104 - BROOKLYN,BROOKLYN,STAINED GLASS
"""CHARACTER, SCHOLARSHIP, SCIENCE, SERVICE..",Fn Lamb Studios,1934,TELECOM. ARTS & TECH. - K,BROOKLYN,STAINED GLASS
YOUNG MEMORIAL,Fn Lamb Studios,1919,I.S. 302 - BRONX,BRONX,STAINED GLASS
"""BLAKE TABLET"" (LILLIE DEVEREUX)",Fn Lamb Studios,1923,P.S. 6 - MANHATTAN,MANHATTAN,BRONZE
LYDIA F. WADLEIGH AND SUSAN K. BOURNE MEMORIAL,Fn Lederle Studio,1909,I.S. 88 - MANHATTAN,MANHATTAN,"STAINED GLASS, OPALESCENT"
JOGGER IN THE SNOW,Fn Lomeo,,OSSS / DSF - QUEENS,QUEENS,"PHOTOGRAPH, TINTED"
DUCKS IN WAITING,Fn Lomeo,,J.H.S. 72 - QUEENS,QUEENS,"PHOTOGRAPH, TINTED"
"""MALCOLM X""",Fn Menelek Iii,,P.S. 262 - BROOKLYN,BROOKLYN,ACRYLIC ON PLYWOOD
UNKNOWN,Fn Menelik Iii,1970,J.H.S. 57 - BROOKLYN,BROOKLYN,ACRYLIC ON WALL
OCEANSCAPE,Fn Minewski,,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
A HISTORY OF SOUTHERN CALIFORNIA (IN COLOR),Fn Nantandy,1976,OSSS / DSF - QUEENS,QUEENS,PRINT
A HISTORY OF SOUTHERN CALIFORNIA 'PRINT',Fn Nantandy,,OSSS / DSF - QUEENS,QUEENS,PRINT
"""CROWD DESCENDING BOARDWALK""",Fn Nolan Scenery Studios,1988,P.S. 90 - BROOKLYN,BROOKLYN,ACRYLIC ON CANVAS
"EVANDER CHILDS, EDUCATOR",Fn Polowetek,,EVANDER CHILDS HS - X,BRONX,OIL ON CANVAS
UNTITLED,Fn Studio-In-A-School,1996,P.S. 181 - BROOKLYN,BROOKLYN,CERAMIC
BRICK WORK INTERIOR,Fn Sussman,1941,OSSS / DSF - QUEENS,QUEENS,WATERCOLOR
FOREST,Fn Trimbach,1937,P.S. 216 - BROOKLYN,BROOKLYN,SILKSCREEN
"""MR.SPRAGULIS""",Fn Unknown,,OSSS / DSF - QUEENS,QUEENS,OIL ON CANVAS
"UNKNOWN ""NATURE AND CITY""",Fn Unknown,,OSSS / DSF - QUEENS,QUEENS,
THE WHITE CHURCH,Fn Unknown,,,,
"""DUTCH CITY HALL [DE DAM]""",Fn Van Der Ulft,1667,STUYVESANT HS (NEW) - MANHATTAN,MANHATTAN,OIL ON CANVAS
"""UNTITLED""",Fn Vines,1946,OSSS / DSF - QUEENS,QUEENS,PLASTER
BUST OF MARY MCLEOD BETHUNE,Fn Wright,1968,P.S. 92 - MANHATTAN,MANHATTAN,PLASTER
BUST OF MARY MCLEOD BETHUNE,Fn Wright,1968,P.S. 92 - MANHATTAN,MANHATTAN,HYDROCAL
THE GARDEN OF GAMES AND THE GARDEN OF SCIENTIFIC IDEAS,Fn Yankowitz And Holden,1997,I.S. 145 - QUEENS,QUEENS,"STEEL, WEATHERING"
THE GARDEN OF GAMES AND THE GARDEN OF SCIENTIFIC IDEAS,Fn Yankowitz And Holden,1997,I.S. 145 - QUEENS,QUEENS,CONCRETE
THE GARDEN OF GAMES AND THE GARDEN OF SCIENTIFIC IDEAS,Fn Yankowitz And Holden,1997,I.S. 145 - QUEENS,QUEENS,"BRONZE, CAST"
IN MEMORY OF ABRAHAM RADGIK,Fn Zim,1923,P.S. 42 - BRONX,BRONX,
"""PREHISTORIC MURAL""",Fn Zucker,1935,GROVER CLEVELAND HS - Q,QUEENS,OIL ON BOARD
THE LEGEND OF SLEEPY HOLLOW,Frances Grimes,1915,WASHINGTON IRVING HS - MANHATTAN,MANHATTAN,PLASTER
"""BAYARD RUSTIN""",Frances Sarason,1988,BAYARD RUSTIN EDUCATIONAL COMP-M,MANHATTAN,BRONZE
DANCING LIGHTLY,Frances Valesco,1986,P.S. 68 - BRONX,BRONX,PAPER
ANIMALITY,Francesco Simeti,2009,ELIZABETH A. CONNELLY CAMPUS - S.I.,STATEN ISLAND,"ENAMEL, PORCELAIN"
UNTITLED,Francis Bevilacqua,1975,GRAND STREET CAMPUS (OLD E.D.HS)-K,BROOKLYN,MARBLE
"""ABSTRACTION""",Francis Bevilacqua,1970,P.S. 54 - STATEN ISLAND,STATEN ISLAND,MARBLE
SPORTS,Francis Bevilacqua,1973,I.S. 291 - BROOKLYN,BROOKLYN,MARBLE
"""ARTS, LETTERS, SCIENCES""",Francis Bradford,1957,P.S. 261 - BROOKLYN,BROOKLYN,MARBLE
GREAT DISCOVERIES,Francis Bradford,1961,GEORGE WESTINGHOUSE VOC HS - K,BROOKLYN,MOSAIC
THE PHYSICAL SCIENCES,Francis Bradford,1959,P.S. 138 - BRONX,BRONX,CERAMIC TILE
"THE OLD BRONX, THE BRONX TODAY",Francis Costa,1939,P.S. 11 - BRONX,BRONX,OIL ON CANVAS
"""NEW YORK HARBOR""",Francis Kughler,1934,BROOKLYN TECH HS - K,BROOKLYN,OIL ON CANVAS
EDUCATION PROVIDING ILLUMINATION,Francis Mora,1921,P.S. 138 - BROOKLYN,BROOKLYN,OIL ON CANVAS
"""PROTECTION""",Francois Rubitschung,1937,P.S. 8 - BROOKLYN,BROOKLYN,"PLASTER, PAINTED"
DREAM CATCHER LOVE SONG,Frank Big Bear,1997,P.S. 75 - BROOKLYN,BROOKLYN,DRAWING
BRADDOCK'S DEFEAT,Frank Hoffman,,OSSS / DSF - QUEENS,QUEENS,PRINT
FREEDOM OF ARTISTIC EXPRESSION,Frank Mason,1976,OSSS / DSF - QUEENS,QUEENS,PRINT
FREEDOM OF ARTISTIC EXPRESSION,Frank Mason,1976,OSSS / DSF - QUEENS,QUEENS,OIL ON PAPER
FREEDOM OF ARTISTIC EXPRESSION,Frank Mason,1976,LEON GOLDSTEIN HS - BROOKLYN,BROOKLYN,OIL ON CANVAS
LAMBS,Frank Nagy,1930,WILLIAM C. BRYANT HS - Q,QUEENS,STONE
"""FIGURES OF HISTORY""",Frank Reilly,1958,P.S. 169 - QUEENS,QUEENS,"MOSAIC, CERAMIC"
